Transaction Date,Amount,Payer/Vendor,Type,Property,Unit,Category,Description
2022-09-11,-$1646.04,Vendor unknown,Expense,308 Jamie Court Longview TX 75605,,Cleaning and maintenance,Living Room Paint
2022-09-11,-$883.73,Vendor unknown,Expense,308 Jamie Court Longview TX 75605,,Cleaning and maintenance,Replace Living Room Carpet
2022-07-23,-$167.50,Vendor unknown,Expense,308 Jamie Court Longview TX 75605,,Cleaning and maintenance,Washer Drain Flow Issue
2022-09-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-08-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-07-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-06-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-05-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2021-05-20,-$135.00,Vendor unknown,Expense,308 Jamie Court Longview TX 75605,,Cleaning and maintenance,Clogged drain by driveway
2020-09-05,-$127.88,Vendor unknown,Expense,308 Jamie Court Longview TX 75605,,Cleaning and maintenance,Fence Repair and Install
2022-03-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-04-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-12-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-11-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
2022-10-03,-$5.00,Avail,Expense,308 Jamie Court Longview TX 75605,,Other,Avail Subscription Fee
